	OA_002	OA_003	OA_004	ACUTE_002	ACUTE_003	ACUTE_004	SUBACUTE_002	SUBACUTE_003	SUBACUTE_004
P13611	47915	134900	76570	147600	45670	99140	218300	149550	116800
P18206	2201	2637	3695	3188	4591	2730	3474	4643	4006
P08670	42058	30248	11460	10045	25630	5186	12034	24791	13452
O95497	10560	4221	12190	16790	12440	6567	22100	13290	9489
Q9Y279	56592	47602	59778	47450	23872	66240	31062	31760	65405
P04004	46250	54460	56975	64255	69590	43410	96020	87480	70330
P04275	9672	11400	13475	18200	15790	12680	18268	17040	14155
P23381	NA	1655	3960	4199	4338	2521	4611	4720	1961
Q86Y38	4956	5831	1928	12910	6270	13750	4681	11600	6078
P31946	26900	46480	13255	22065	11045	33555	8100	11410	12800
P61981	51910	73690	53390	58000	34790	50580	37710	46810	65460
P63104	35120	20938	17656	24805	19782	21526	16370	26955	24385
Q8NF99	NA	1574	NA	1437	NA	NA	NA	NA	NA
O94892	98570	62820	166300	124900	118400	89110	146800	122200	103000
