Gene ID	WKY.adrenals_replicate.2	SHR.adrenals_replicate.1	SHR.adrenals_replicate.2	SHR.adrenals_replicate.3	WKY.adrenals_replicate.1	WKY.adrenals_replicate.3
ENSRNOG00000048037	9.50872991	9.321580618	9.416378905	9.501833026	9.434462718	9.465579586
ENSRNOG00000048043	12.07844805	12.37988714	12.78547738	12.15261312	12.21173673	11.89511169
ENSRNOG00000048061	7.983856105	8.121430785	8.202651124	8.154001456	7.937612083	7.950259354
ENSRNOG00000048070	10.05524565	10.21011198	9.928556387	9.824310849	9.946219367	10.0585833
ENSRNOG00000048122	8.976961083	8.824574058	8.902254709	9.033441446	9.010091546	8.832740216
ENSRNOG00000048145	9.980593548	9.941281457	9.861901995	9.948186291	9.75005699	9.761516153
ENSRNOG00000048148	9.090118401	9.124578017	9.222770828	9.158793913	9.10227354	9.124944416
ENSRNOG00000048152	10.0309877	9.417580652	9.847364167	9.866227908	10.15753727	10.18315464
ENSRNOG00000048205	9.953001424	10.19488961	10.01561872	10.06066884	10.06853979	10.40550231
ENSRNOG00000048210	9.921776545	10.01750514	9.901866267	10.02114425	10.00415255	9.846918444
ENSRNOG00000048237	9.743626673	10.06800731	10.08457275	9.953833654	10.21327251	9.917899675
ENSRNOG00000048239	11.79589916	11.77982269	11.77094354	11.74605327	11.34806285	11.91365827
ENSRNOG00000048273	8.006359824	8.070514547	7.756850056	7.93618528	7.995320364	7.991192344
ENSRNOG00000048315	8.945967136	8.89868691	8.903993762	8.67555816	9.021142656	8.957604497
ENSRNOG00000048363	9.668187089	9.741799517	9.79982689	9.678530988	9.366451792	9.870536683
ENSRNOG00000048389	9.383542008	9.330143293	9.375331429	9.324169594	9.119205325	9.468065216
ENSRNOG00000048397	9.232260751	9.284551706	9.405707692	9.087366581	9.387818357	9.292529045
ENSRNOG00000048402	9.414437048	9.291925999	9.549929021	9.525778634	9.375914549	9.519097758
