PG.ProteinAccessions	L1_000101	M1_000106	M1_000127	M1_000139	L1_000142	M1_000142	L1_000236	M1_000236	L1_000316	M1_000316	M1_000366	L2_999004	M2_999006	M2_999007	M2_999008	M2_999009	M2_999014	L2_999017	M2_999017	L2_999090	M2_999090	L2_999092	M2_999092	L2_000255	L2_999015	M2_999015
A0A075B6I0	NA	NA	NA	NA	21037.849609375	50076.625	76128.140625	23632.267578125	3053.8818359375	220718.296875	1809.78576660156	NA	754.884887695313	3374.15112304688	6926.3037109375	NA	4137.580078125	8401.5146484375	10834.7431640625	2398.21875	3328.43481445313	3011.11376953125	4920.17138671875	NA	NA	NA
A0A075B6P5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6S5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q7Z7G0	1256669.625	474469.375	1387432.125	539341.25	549359.75	1588541.5	956320.625	866449.8125	446195.75	1606536.5	151464.53125	2780458.25	363275.25	170361.625	374659.34375	462746.5	237459.828125	895624.1875	127512.78125	428027.59375	334616	393390.40625	144653.65625	389461.78125	132048.46875	78124.2578125
Q86SR1	43298.8828125	58603.1015625	122937.8671875	135195.859375	47827.67578125	142579.453125	88250.8125	140276.28125	35524.16015625	97022.71875	237656.40625	82049.5703125	150830.140625	243762.25	92658.5390625	101996.375	42486.55859375	59683.32421875	232816.4375	77305.140625	128918.8828125	91059.234375	54293.078125	84136.5234375	96986.1484375	21462.369140625
Q86UD1	29101.45703125	18480.6015625	17689.48828125	17035.0390625	14820.9697265625	28927.130859375	30975.69140625	15983.427734375	34529.8203125	32692.404296875	7828.3486328125	32584.91796875	2274.45678710938	6749.53125	12109.716796875	11915.501953125	14997.6865234375	73186.1640625	49096.66015625	15301.6591796875	26239.73828125	11151.0078125	6037.78955078125	43525.30859375	2761.78344726563	2153.92749023438
Q86UX2	12918.4658203125	6670.87744140625	22432.68359375	5180.515625	26039.9765625	24561.798828125	13353.3662109375	7351.44482421875	3486.92114257813	18069.28125	6595.70166015625	67859.75	3237.78344726563	5107.06689453125	4068.64599609375	7651.47216796875	3981.38745117188	7386.11083984375	5580.22802734375	3858.45703125	8174.361328125	3608.62280273438	3537.3349609375	6452.40478515625	4267.48291015625	913.27392578125
Q86VP6	6890.783203125	12964.7763671875	2842.96533203125	25389.228515625	4212.2275390625	3185.30004882813	3547.88012695313	7336.93994140625	22014.779296875	8361.396484375	17526.13671875	2504.865234375	NA	22789.626953125	13868.2294921875	16439.833984375	NA	12975.08203125	17868.064453125	20554.634765625	9136.3388671875	10955.4091796875	NA	3962.95068359375	8461.1669921875	8938.0908203125
Q86XS5	16781.69140625	11568.830078125	52910.95703125	46379.28515625	7692.7646484375	7684.11669921875	27147.845703125	27820.44921875	21868.458984375	NA	7156.4794921875	26472.341796875	20151.8359375	22059.15625	16603.109375	23217.322265625	28143.966796875	32896.39453125	16212.6005859375	32071.90625	28244.6875	69154.921875	12592.33203125	27142.076171875	4308.01611328125	2289.40844726563
Q86Y22	150886.75	248115.21875	237855.9375	373660.3125	90492.7109375	212604.890625	191332.1875	436226.40625	312032.8125	315470.21875	396902.75	184233.078125	459236.46875	374682.0625	245132.8125	350903.5	334021.25	166682.578125	301173.71875	382658.21875	384979.5625	314938.375	302555.78125	209609.1875	242632.0625	NA
Q86Y38	5150.7978515625	2088.40551757813	4286.5615234375	NA	2771.39184570313	3049.71826171875	3966.77270507813	3117.92846679688	2919.84497070313	14151.0224609375	NA	7497.2119140625	NA	NA	985.867614746094	NA	1578.98266601563	5683.30029296875	NA	1346.57690429688	NA	NA	NA	2100.04077148438	NA	NA
Q8IUL8	771568.75	393113.3125	1502454.625	679640.625	349708.875	955551.375	837228.625	484073.53125	805565.1875	312176.1875	963183.375	3985756.25	1401831.125	286938.8125	817519.25	286491.40625	368527.375	607170.5625	270991.78125	698542.625	600612.375	692390.5	451208.75	554990.1875	172253.421875	154659.015625
Q8IUX7	90835.390625	23262.8125	121088.75	61432.6171875	494979.53125	928039.125	184018.40625	46094.28515625	19816.25	258060.421875	62906.18359375	183374.71875	9612.986328125	3415.27075195313	4175.37744140625	7158.25830078125	19186.966796875	44970.109375	9695.01171875	9921.1865234375	7859.18310546875	14483.203125	4230.5107421875	100171.484375	4775.779296875	7503.95654296875
Q8IVF2	17058.232421875	NA	10614.6455078125	NA	33736.13671875	56123.09765625	9035.212890625	11876.98046875	NA	174094.234375	NA	17848.5703125	NA	NA	NA	NA	NA	13609.708984375	NA	19631.48046875	NA	NA	NA	NA	NA	NA
Q8IVN8	4085.76220703125	NA	41407.46484375	NA	5312.3046875	5028.1103515625	2453.24829101563	3059.08081054688	NA	NA	NA	13155.7265625	7498.4228515625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8IWU5	284932.1875	11750.015625	243134.5	93489.1796875	13218.4091796875	434589.1875	73172.25	19422.517578125	26896.2265625	186682.78125	15112.619140625	326780.9375	70055.25	60924.52734375	3174.83618164063	18607.57421875	6805.1875	68600.328125	33864.828125	27558.7734375	10482.96875	36354.15625	110480.078125	400477.65625	131339.78125	3452.4931640625
Q8N142	420.711181640625	3817.34936523438	6101.8701171875	NA	3333.51904296875	3526.77880859375	8522.953125	4196.1748046875	NA	6519.02880859375	8565.48828125	14388.107421875	NA	11266.75390625	19462.89453125	14146.2802734375	11369.171875	18686.578125	NA	17217.5859375	18839.658203125	NA	NA	14651.296875	NA	NA
Q8N2S1	53659.359375	9967.466796875	53389.22265625	14326.5107421875	14490.0234375	20731.546875	9798.95703125	25944.23828125	7337.9384765625	43522.58203125	NA	54146.1953125	NA	NA	6137.859375	9128.205078125	4719.095703125	15073.255859375	NA	6988.7919921875	7034.09375	22605.6875	3673.42065429688	25732.853515625	8453.9375	NA
Q8N436	6400.52880859375	NA	2648.23046875	NA	55921.68359375	21617.375	13938.4755859375	NA	570.978088378906	NA	NA	8249.640625	NA	NA	NA	NA	5206.8095703125	5470.8857421875	NA	228.154708862305	5891.23876953125	9310.615234375	NA	NA	NA	NA
Q8N474	39233.7890625	14721.14453125	149388.625	9870.2421875	36241.953125	46665.01171875	50990.0546875	7727.24951171875	19699.94921875	135856.34375	NA	112082.078125	5150.4404296875	NA	1420.49926757813	28567.43359375	3036.53955078125	16529.087890625	NA	4024.78076171875	NA	6999.41455078125	22453.14453125	27781.171875	378.130065917969	1008.62091064453
Q8N766	108365.2890625	448215.75	NA	NA	153149.25	NA	125929.15625	181825.53125	323597.25	NA	1009602.4375	NA	1320958.75	1083712.5	NA	NA	NA	322136.71875	865267.5	NA	NA	828234.5625	969736.6875	NA	669042.75	NA
Q8NBS9	7354.8662109375	1383.69799804688	12969.392578125	NA	10602.6123046875	19619.869140625	6700.53369140625	4820.25048828125	1824.841796875	156731.96875	NA	11510.083984375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8NCH0	56179.2421875	5949.75390625	30215.677734375	21835.546875	18872.12109375	48404.9921875	24699.2421875	10735.6376953125	13023.8818359375	NA	8590.0439453125	51823.9296875	2777.06787109375	10131.4658203125	7067.6513671875	15093.4365234375	13744.3984375	41051.3125	23185.767578125	15591.5830078125	11704.19921875	22014.017578125	18362.224609375	25530.509765625	15948.4873046875	6884.2578125
Q8NG27	271509.53125	465737.28125	335525.96875	408126.0625	306047.3125	320346.15625	291374.875	402813.78125	479831	278382.75	701872.375	193731.40625	859444.8125	484221.25	698764.75	349613.65625	413715.875	464485.15625	485387.3125	287200.65625	623568.3125	590600.875	794518.375	397352.96875	561187.3125	336234.9375
Q8TAD2	11392.6640625	NA	7954.52685546875	NA	3243.99780273438	12405.9169921875	155607.3125	NA	10493.3974609375	NA	NA	11150.94140625	NA	15417.4208984375	NA	18848.1171875	7684.63427734375	9867	23337.982421875	NA	12082.7421875	22136.23046875	15534.2939453125	13045.0390625	NA	NA
Q8TAL6	9277.38671875	8319.1875	17071.80859375	6054.92724609375	5707.9736328125	6468.4814453125	14449.224609375	8728.017578125	5016.0947265625	NA	NA	15049.8828125	2851.32592773438	NA	5707.06689453125	11190.80859375	1784.20581054688	13395.0654296875	NA	NA	12558.380859375	13329.447265625	9608.8603515625	7739.97119140625	NA	NA
