Gene ID	wild.type.genotype_1	Hunk.knockout_2	Hunk.knockout_3	wild.type.genotype_4	wild.type.genotype_5	Hunk.knockout_6	wild.type.genotype_7	wild.type.genotype_8	Hunk.knockout_9	wild.type.genotype_10	Hunk.knockout_11	Hunk.knockout_12
ENSMUSG00000029726	7.653101564	7.521178358	7.531719212	7.538066835	7.388548031	7.618545892	7.495055535	7.480533791	7.554409683	7.547638933	7.649579285	7.510686732
ENSMUSG00000029727	4.816525347	4.631192189	4.804880109	4.751559349	4.703229079	4.871274914	4.749105529	4.588029493	4.996798095	4.761286712	4.862946312	4.826262214
ENSMUSG00000029735	7.821609018	7.852371015	7.976334314	8.060767291	7.959723223	7.999001773	8.036389011	7.871647284	8.270974725	7.970424506	8.017940268	8.149391942
ENSMUSG00000029736	7.351837011	7.493819843	7.649230563	7.517201905	7.445783767	7.588565673	7.467092502	7.53240161	7.685519312	7.49698378	7.381355182	7.532812204
ENSMUSG00000029752	9.431819651	10.59807517	9.517608617	9.598230975	9.416819556	9.467646233	9.608603651	9.866174772	9.750249326	9.511498223	9.647726357	9.152739382
ENSMUSG00000029754	6.505836359	6.401468144	6.269823032	6.644250062	6.482839641	6.372784498	6.153925631	6.443766207	6.655970724	6.341699149	6.398841816	6.491043014
ENSMUSG00000029755	6.644980283	6.663810041	6.501466959	6.660317344	6.664704928	6.86698655	6.593606123	6.628739609	6.675703819	6.546647264	6.675165084	6.573653368
ENSMUSG00000029757	4.302591411	4.249764253	4.246382894	4.299812157	4.303015245	4.348917799	4.241239675	4.18671215	4.417143967	4.219280625	4.248057066	4.282943463
ENSMUSG00000029759	5.808155575	7.913103779	7.088941967	6.771975422	6.7051914	6.423970109	7.188951148	6.552454913	6.406311834	6.070915635	6.476788155	6.898600211
ENSMUSG00000029761	9.553619733	10.22062291	9.113716224	10.39770632	9.648606095	9.502486978	10.86151565	9.914691631	8.136091179	9.963272922	9.865190318	8.761096444
ENSMUSG00000029762	7.94907423	8.023919953	8.601578046	8.275283119	8.283178048	8.468841087	7.949456913	8.007746604	8.889915604	8.264696827	8.67448911	8.516968269
ENSMUSG00000029763	7.997493394	8.127294744	8.090715707	8.381180096	8.098864186	8.021948918	8.125159146	8.229200834	8.391737583	8.126965487	7.913573062	8.198786752
ENSMUSG00000029767	9.218350693	9.155660907	9.484777053	9.818767347	9.31560245	9.547115901	9.909056005	9.306703759	9.137643521	9.74979753	9.69046205	9.310967225
ENSMUSG00000029769	6.692657798	6.639742797	6.625055354	6.656194898	6.571359161	6.552259964	6.863215059	6.571044016	6.911635163	6.695241631	6.675890822	6.703920943
ENSMUSG00000029771	7.077337782	7.030859709	6.956659524	7.155006672	6.865533128	7.022711377	6.926722873	7.015261912	7.105673599	6.99464855	7.011518134	7.078950561
ENSMUSG00000029772	8.556475884	8.199568268	8.466163172	8.604470191	8.509063791	8.639804824	8.549717859	8.262689996	8.713541054	8.400007107	8.436776774	8.502101614
ENSMUSG00000029776	8.748430576	9.242309769	9.719496951	9.467483029	9.035645611	9.383831589	10.02836052	8.789657173	9.197957078	9.302196107	9.394434682	9.219968587
ENSMUSG00000029777	9.481115054	9.762138039	9.792254241	9.645998178	9.312477327	10.03872727	9.596561116	9.514680098	9.480960935	9.995294242	10.02348126	9.07850912
ENSMUSG00000029778	7.422235344	7.417960242	7.370726855	7.53664529	7.50494286	7.629719897	7.269160097	7.436704047	7.541896014	7.345562701	7.393404201	7.417680118
ENSMUSG00000029780	6.216639522	6.365575041	6.5053686	7.072185003	6.225850538	6.561376438	7.028500976	6.439917658	6.111933457	6.550333407	6.627098476	6.06234828
ENSMUSG00000029781	6.652706484	7.463807909	7.905138425	8.093091359	7.533331885	8.199048505	7.996126532	7.557036961	7.724558821	8.547279889	8.527274925	7.856962603
