Proteinname	B_395	B_401	B_414	B_421	B_439	B_444	B_449	G_12	G_14	G_2	G_39	G_40	G_41	G_42	G_50	G_51	G_52	G_6	G_9	G_92	L_399	L_402	L_403	L_406	L_420	L_431	L_432	L_433	L_434	L_437	L_441
O75347	1168.400411	4780.780762	2740.508331	8657.273926	3433.857178	1328.618103	338.2147789	8552.584869	1159.761383	2955.893005	10508.8421	16543.07666	8217.005615	13584.24854	21231.77682	616.0879517	29536.6991	27429.04114	402378.8281	9129.811392	545.1893463	869.3754883	4112.76416	1994.765194	1536.828735	1109.63031	1689.817703	2143.939041	5401.564331	1015.71019	3646.625
O75368	94908.20388	1354394.688	86296.9375	686732.2941	27257.95313	96033.04434	1207.769775	20094.90033	5533.167282	75923.64058	23910.35205	41702.33398	50815.07031	63752.70117	62590.65967	1354.046265	33336.02014	352417.2603	622815.1563	17805.82721	915.2258911	63886.96655	25964.94922	17623.04053	9722.239693	6096.667633	48464.67383	13145.05927	18946.39694	32418.40918	26738.75
O75390	 	 	1300.051025	 	 	 	 	3559.057617	 	 	1295.871826	 	 	1899.175293	1939.532837	213.5179639	830.3898315	 	 	769.1169434	 	682.3383789	 	1514.190186	569.6174927	 	 	810.5823822	683.1803589	 	1181.198242
O75594	 	 	2261.631104	 	4022.147705	 	 	2759.752136	564.1968231	9357.478516	786.0518799	59226.92969	7822.193359	69890.95313	39484.51953	1359.871094	15597.09967	 	117034.7578	10644.62958	71942.51367	14990.09536	3521.781982	 	21271.7251	10996.875	32935.57422	31283.48438	22939.18677	20309.23193	8383.181641
O75636	125843.2032	1248157.188	72916.85022	446912.5876	254383.7734	181869.8914	10701.67725	40015.72522	3274.494965	92178.03729	26725.16858	124464.7109	73023.58203	137798.5859	100948.5303	5745.138794	29069.56213	191048.3125	168369.2461	66000.16797	8839.327026	10309.55615	51263.72852	204761.4141	66889.58496	34500.52356	179048.25	77687.65942	70431.35132	147602.4766	480145.9063
O75874	 	 	 	 	 	24124.16797	 	6420.958263	15690.54224	 	31584.49072	41705.15918	24489.36768	9661.484131	1828.380127	411.9060135	292584.6309	325898.1563	201795.2617	24903.24344	 	 	 	8687.200195	 	 	10744.19531	6174.522949	1622.749268	8511.674805	 
O75882	161559.5615	3039677.125	138349.2725	1541262.617	348390.2344	266599.7266	41719.72656	152581.6113	106833.2637	276185.6003	144418.5771	311765.9375	237497.6328	325049.0859	249342.625	281713.8027	171682.1895	530051.3831	826971.5625	217495.3865	25759.2876	3779.290771	309633.5938	306059.0547	246179.7422	131479.8137	305903	394591.2813	381442.1016	327862.4766	391762.8281
O75925	 	 	4475.825891	 	7447.857178	 	447.5891266	5090.13763	441.1917801	 	13577.78509	1178.899994	2079.570129	 	77065.41458	302.8189392	9193.441406	 	 	121072.8281	138.0185757	104.6213036	144610.8054	5671.064453	1374.338863	714.6121845	13426.00452	13.03348541	56035.87075	4733.894745	1725.13591
O76076	 	 	548530.4775	 	 	 	6096.874756	22892.25342	91116.99219	27707.76193	139509.1538	21876.052	30132.58008	48523.77539	777463.5371	220445.1892	315647.5273	 	 	16499.41016	204119.4766	325330.7969	22496.02832	14659.68359	80677.46289	124582.6104	61317.04688	239337.4531	121387.0391	23643.92578	 
O94985	6261.542908	 	3687.601837	 	2983.579956	21858.5332	885.894928	32321.42529	93.98184395	20031.58875	4122.116486	6359.907043	9247.499023	14692.79248	13851.22092	139218.2384	5947.5424	 	 	3730.330078	116.3792648	41.50168419	19353.0332	14353.17578	17904.90576	12019.44031	17168.09912	9416.47467	10225.4981	19310.69531	17108.43359
O95229	57246.72656	 	326954.7637	 	343164.1328	56813.06799	25027.14063	268546.6621	46395.02441	1313427.25	190572.2207	505438.4063	249079.6172	727960.4375	2196920.75	22568.0918	913337.5625	1939941.375	3400794.688	67017.49994	7266.711182	28161.55566	231703.1328	275949.0938	79494.45215	76395.89453	1462458.25	217104.5234	221838.1284	267846.2891	283186.1484
O95236	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
O95336	9827.083984	 	551.9203491	 	 	 	 	3681.503876	37.13241386	 	10714.00647	17674.25879	6205.807373	20277.45996	2497.098774	280.7546768	26767.21802	84274.01563	261452.5234	1831.434713	9356.818483	15.72383881	4165.397705	 	 	1115.565923	14921.34668	1634.106337	2655.877071	5742.285156	192.7952576
O95445	1281747.085	9699473	354112.9685	8197149.656	362043.4219	1485364.27	94467.02051	72245.33203	35748.91016	787267.0121	87503.82422	610094.8906	111723.9805	780587.2266	115740.6353	12146.68567	90899.90283	1881592.528	2204001.875	167234.0977	47834.15234	125158.2236	224471.6797	118291.0625	187378.7959	568973.2031	1504569.313	90648.08008	141161.1387	184063.5469	289589.0156
O95450	1664591.021	 	1502408.938	 	2403707.375	1283121.719	3237373.875	4901068.625	3802026.615	2286510.813	2267761.938	773825.4375	1710812.125	4800673.5	2015800.813	3388063.5	6125875.5	314138.0625	260745.4219	3731098.375	4591479.875	4349601.875	2506810	1011656.469	2198847.141	2402537.938	1843479.25	2580406.563	2566798.125	2439236.125	1720587.766
O95497	60228.63802	 	41212.84229	 	182760.5469	39846.30835	27989.35254	58786.37109	312320.3522	74288.31396	31019.19824	60892.12109	62059.36328	51194.02539	271606.9844	39635.83398	53411.95142	 	627417.1875	48351.07031	4113.268555	60719.99805	40277.82227	150830.3711	99277.69531	40201.21191	99596.51563	76515.39648	58389.39453	113340.1772	157358.7813
O95965	85739.80469	 	40088	1648377.25	74980.01172	112027.3047	60700.93359	34132.22656	108212.125	50638.17188	135753.9023	1313344.775	53383.35547	61837.50391	74696.75781	43197.24212	73808.31836	 	121128.1406	35461.22168	48123.33008	44621.34375	91426.24609	78482.50977	752168.875	48193.67188	76334.98047	62198.87891	57947.38477	66578.00977	126393.2109
P00167	 	 	 	 	 	 	 	 	27.83478928	 	141.1499481	28526.8418	4330.914795	 	46749.12061	84.36299133	258533.3188	 	1052552.844	 	 	 	21566.30664	1804.108765	 	 	 	 	 	 	 
P00325	16154.63883	3894940.125	2209.689835	116967.1262	802.7610931	56536.99158	150.2265682	14950.81207	4306.097534	242720.9141	141489.125	164031.0156	31871.33496	30514.646	9088.942383	1145.373064	721385.2813	135607.625	1439340.813	43742.61963	75.34862518	52.27768517	1620.674622	54574.52344	321.8757076	714.5202446	20273.69425	600.1769714	37.11187685	497.4814606	2045.772217
P00338	2077672.104	 	95938.50781	 	3112303.553	2353543.285	2441.207275	194573.9915	10883.25241	904136.2983	328677.7284	725769.5664	1596132.199	1438582.031	188852.8805	339.3218536	176122.4602	3588087.25	4154444.625	816134.481	8653.82436	194.2259865	383273.4063	55674.12891	64285.84882	90321.2865	96484.59802	371063.5117	432834.3857	35599.0166	76449.12891
P00352	51853.4293	 	2949.219376	 	5818.020752	87923.33594	80.97003746	15425.63829	2297.867417	1179.80957	34563.07938	34544.42871	22476.33008	62406.46094	31043.18695	210.6680946	98624.79797	78091.01318	359549.8828	15957.77135	55.23920631	66.10521889	18556.82129	8328.443848	2112.536797	7091.610565	10064.17236	7638.062347	10656.57892	17767.33398	21029.65723
P00390	49836.30502	935489.25	4417.497869	313123.3227	13799.87354	46147.35297	36.83701134	17549.51323	847.4695377	72990.14426	26534.87061	48487.08398	31397.49219	122577.5625	43833.36334	2701.348282	54664.9732	365747.6112	797915.1875	17120.02576	386.4056549	29.07926559	26227.66406	18533.20117	5900.382484	8434.500246	14240.92725	16786.8606	10687.98885	21332.27832	41027.68359
P00441	89986.0118	 	37194.85938	173756.423	15031.43457	40368.79391	12617.38892	143371.1875	191839.0391	136029.2067	497789.7109	89789.17969	51867.65234	115685.1641	298171.1641	358385.375	1271088.297	287234.8428	3890589.5	176667.9492	15456.26102	41289.83398	45432.65625	29740.4502	29068.95801	66434.59961	34902.6709	48835.89844	39572.43555	37735.56348	33704.44824
P00450	1940696.583	19134351	833018.6563	10548441.31	2919584.375	5127117.5	1196766.75	1314156.594	1359392.146	2536771.667	2151647.625	2065809.813	1515162.875	2923436	2555725.125	2836771.625	2605861	20161077	6770829	1453870.813	954474.3125	671865.6563	1836799.813	1585401.813	1586833.469	818095.0625	2031204.938	1704462.313	2262202.375	2168271.875	3695392.25
P00505	1	 	120483.4375	 	 	 	 	845644.25	 	 	2072541.75	200455.5313	 	 	711639.1875	2080049.625	4657.273712	 	96754.25	447.9329529	89468.85547	53181.68359	 	 	95768.42188	23665.79852	 	3368.761475	56689.41797	1189.904419	9509.888672
P00558	130343.9642	1458887.5	54814.80566	534121.6367	446514.2266	141103.9297	4942.241089	46413.9248	19196.03027	115388.5786	98032.07227	157391.6797	146571.9453	151875.5156	56410.66016	13358.32275	97737.38086	231307.3887	260129.3516	60672.17529	7462.570801	6537.093994	72509.24609	158945.0781	69869.00391	59981.84766	93784.91406	98493.56934	109943.6348	292714.1953	330566.5938
P00568	55783.92185	 	136175.3627	 	169810.625	174569.7656	1832.183228	59773.75793	1264.734253	713.0437622	29578.05127	133139.2031	131139.2773	30260.08594	52620.89355	962.998642	98144.73956	 	149538.6641	35371.44479	9398.810059	3014.484497	76706.21289	129011.9492	61621.24463	44541.17847	356607.3477	83001.77246	24166.52655	194430.3594	167383.3906
P00734	42064117.83	20272770.5	10000362.38	101043065	4150537.375	143219919.8	23819959.5	8246886.25	11171927.42	35611650.83	15437300.75	2822804.25	1813937.5	3733953.375	12723924.13	38007972	19074004.88	40382557.75	3388680.625	13195624.38	19276347	15995785	2219710.625	1385950.938	6949886.25	10246364.75	4089046.375	17124446.5	5730066.375	3877824	5464276.125
P00736	212077.2441	1856558.563	267969.0781	1596767.653	924040.2188	279267.8086	267905.4922	213645.625	197916.4025	174793.0645	502103.7422	281948.9844	409361.6563	176445.2578	327863.2266	346425.4688	680069.0938	800913.4536	1630945.438	286373.9258	215578.0625	183530.9219	176278.707	217919.1563	378144.7188	241136.6797	567474.6406	393971.0781	200650.8828	471347.5469	1079080.609
P00738	203927.9042	3976854.5	21940.7887	3093692.242	5040.232422	301625.0745	4033.974365	31449.00366	866.9316902	147769.3187	27573.12354	35621.68555	54361.45508	170830.1797	69864.82666	2361.896042	36534.58423	4074685.335	767005.5625	26303.47607	872.2910652	1461.563156	235498.5078	38163.82324	46552.03125	15087.48161	6089.175903	29973.31216	27916.83032	47502.05859	123868.7109
P00740	118871.9301	1107211.469	82346.14526	437704.2637	156177.1563	74877.18213	7864.13208	19727.01697	721.7059631	52127.80176	12680.58725	51780.91602	42205.90234	115951.9336	41564.67773	1517.596588	24779.77552	194739.3125	256971.1016	63399.69263	4499.641479	3290.041809	86448.3125	151390.6016	123505.6372	75486.19336	199798.0234	46872.76624	64863.19177	139114.0938	162768.5859
P00742	550517.3766	5825105.75	452058.0684	1921402.442	985371.25	517901.6523	107346.9805	173028.5881	27520.31836	329542.6865	157641.293	348065.7969	275349.7109	490951.2188	220228.6328	25220.23535	183738.8228	505809.1404	626661.2188	445520.3125	46579.19922	19330.72656	174948.9922	390749.5781	376795.5898	345608.5234	974251.9375	287331.0024	354909.0486	641349.6875	837607.25
P00746	951288.5625	1434446.125	291173.5938	1014260.945	336088.5	255398.728	229160.8438	700333.3438	514478.0938	1591254.018	408085.2188	772599.5938	617626.2813	1566163.438	586884.9063	428096.4531	1553608.875	3063423	3101639.875	452920.6094	175422.1172	384879.2031	389407.875	241241.2344	308511.1328	317618.9688	768668.1875	666527.1875	338456.8672	611529.75	788800.7813
P00747	1293549.698	9970993.25	421312.4492	15864314.75	1583287	942846.7539	129431.5156	453056.0625	135928.6615	657286.3561	299024.6191	224275.1328	537182.0313	1235285.063	1052017.781	45109.89648	391412.3965	14901623.94	1760574.875	613847.7344	159223.9297	98763.80078	1267028.625	1249988.438	920884.5195	676230.9609	2303815.813	1296114.047	1069066.943	1955103.75	3820379.25
P00748	21721761.42	1776744.563	6262974.484	27487575.38	561980.75	68697059.75	20991589.5	7249954.375	5323803.271	19350283.96	3917976.125	333383.6563	236854.9844	871473.75	11308715.5	19511169.5	8229060.203	34577735.25	610602.2813	3482069.047	11820036	13263810	677218.5625	645337.7188	4857335.844	6194073.516	365424.7969	12769066.72	7946740.25	458827.2344	1348269.125
