,B1_99015,B2_99015,B3_99015,B1_99090,B2_99090,B3_99090,B1_99092,B2_99092,B3_99092,B1_999006,B2_999006,B3_999006,B1_999004,B2_999004,B3_999004,B1_999008,B2_999008,B3_999008,B1_999009,B2_999009,B3_999009,B1_999007,B2_999007,B3_999007,B1_999017,B2_999017,B3_999017,B1_999014,B2_999014,B3_999014
P62937,9287.46582,6873.370605,8895.160156,4381.503906,6165.780273,11724.88867,10317.29395,9180.599609,12749.42285,6020.568359,6904.915039,13328.14063,8658.314453,11437.24316,14643.38672,10073.15234,NA,20051.63672,16194.87891,26158.27734,7992.000488,8401.22168,6305.358887,16830.25391,4323.314453,8897.808594,9598.523438,8939.619141,12701.19336,13588.33496
P62942,12901.87012,1018.212463,16407.18359,998.2993164,2875.677002,30342.35938,1708.771362,1618.069946,39012.87891,2220.845947,5919.407715,68174.375,2486.705322,5889.019531,52409.83203,1259.994751,1400.78186,92639.66406,3945.136475,17114.56836,7318.292969,1464.421997,1232.359741,65018.22266,2088.843262,24556.16016,68604.91406,2386.191406,1280.353149,43275.48438
P63000,660.4351807,806.6187744,1630.006836,NA,NA,3462.48291,506.994812,NA,2526.062256,NA,NA,4825.665527,NA,NA,3349.782959,NA,NA,3417.858887,NA,NA,1883.096436,NA,NA,5195.111816,NA,733.3613892,1337.671143,NA,2241.632324,NA
P63104,8972.509766,2831.151611,10374.8418,1135.7948,3960.82373,32521.24219,2998.585938,2489.86499,23867.97461,3717.716797,9205.966797,60054.00781,2329.600342,5581.314453,32673.76563,2294.640381,8662.919922,27246.30469,3348.661133,17499.66211,7354.489746,3402.182129,2007.339966,33321.33984,2513.525146,11203.38281,16131.92188,4923.61084,2000.365845,16517.50781
P63208,13408.33105,NA,3996.330566,978.0246582,4143.615234,9033.654297,3769.670166,4718.374023,7922.556641,1220.346191,5000.709961,16778.67773,2164.342529,12468.94531,24487.52734,1306.214722,NA,10531.89453,6611.116211,19484.62891,2753.84082,5710.094238,4710.070801,7655.279297,1197.908203,4476.540527,10595.66504,6781.779297,1621.203125,8121.329102
P63220,6441.163086,NA,3877.273926,NA,1363.256104,5311.30127,1491.61438,929.6054077,6212.816406,395.9898682,3111.901123,12001.375,1691.857788,1710.429932,10136.03418,1223.037109,NA,14788.74609,1906.013428,4353.378418,1945.836914,1570.553467,569.6265259,8893.821289,NA,1327.700806,1769.424438,2138.196777,289.3942566,9709.541992
P63267,NA,16373.61035,95367.01563,7454.382324,18279.58008,247998.8125,NA,NA,103566.6875,14740.43652,NA,431044.3125,NA,NA,168414.0625,NA,NA,208963.6406,30300.96094,53381.28516,29737.66797,25656.33008,NA,279094.5313,NA,12760.2666,117492.6406,703.1730347,3027.183594,129906.6875
P67809,1407.701904,NA,1532.806885,NA,NA,3036.084717,NA,NA,3851.925049,NA,NA,2328.744141,NA,NA,3650.290527,NA,NA,4650.662598,NA,NA,1003.600647,NA,NA,3114.023438,NA,904.7835693,1949.189209,NA,NA,2400.833984
P67936,2147.741211,778.1138916,10036.92969,NA,963.649353,20078.61719,486.0628052,277.6652832,18873.39258,552.0155029,2305.59668,29423.44531,622.0458374,1159.240723,24466.10938,659.8205566,1991.150513,29082.48047,400.5191345,17330.12695,4542.217773,653.822937,867.4884033,70287.0625,1358.464111,9055.6875,19343.86719,1053.36084,1232.825684,21281.75391
Q5VTE0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9BQE3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
