proteins;G_12;G_14;G_2;G_39;G_40;G_41;G_42;G_50;G_51;G_52;G_6;G_9;G_92;B_395;B_401;B_414;B_421;B_439;B_444;B_449;L_399;L_402;L_403;L_406;L_420;L_431;L_432;L_433;L_434;L_437;L_441
P04196;278360.4688;222202.9688;340313.1563;133199.0156;346011.5938;567198.75;305693.125;168705.9375;223694.6406;350788.8125;217453.0781;279598.75;307857.4688;1434590.25;2192966.25;1550170.125;1758738;1430627.5;3191490.75;1634701.125;2114376.75;2470275.75;2204629.25;4706375;2573256.75;2142538.25;2111591.5;2167719.25;1572336;1601532.125;1549410.5
P04216;6586.547852;11949.99414;;3971.759766;5978.356445;7924.209473;5271.899902;925.3606567;4214.09082;27565.86133;;;13174.14844;;;8030.794434;;6292.243164;;4719.349609;3525.508545;5021.841797;5066.20752;2998.927246;4226.569336;4210.261719;7830.926758;11675.94629;5051.235352;3730.625977;3277.178711
P04217;7239520;10952225;5818737.5;12965224;8936305;4848696.5;7833844;6341962;8557489;6008113;8499249;5945802;8803239;7785457;10240317;8632326;7460290.5;9036887;8346807;10341273;6902668;10178962;10277933;7572826.5;9958346;8794206;9235158;7575396;9008626;10021949;10031865
P04259;;;;7995.493652;8731.759766;;;;;;111900.9141;43368.76172;;;376318.5625;;;;;;;;;;2580.644043;;9342.574219;;;;
P04264;22131.98242;16690.97852;513702.1875;180981.25;211525.0625;195087.0156;16433.37305;1074411.875;101663.5781;99180.92969;5503837.5;3683544;71175.52344;139462.125;1405985.875;58315.14453;1208429.75;64632.07031;654503;47260.57813;46270.64063;226676.0313;33409.75;15148.44727;207578.4688;55529.00781;704294.4375;248485.6094;14038.7373;84734.80469;84010.6875
P04271;;1155.760376;;1116.828857;957.5139771;;;;;9179.75293;;;;;;;;;;;;;;;;;;;;;
P04275;1389.044067;2708.37085;48051.5625;2222.114258;8173.069824;5688.552246;2787.853516;3223.74292;1172.278931;1540.512451;10149.80469;;787.2106934;6026.481934;;2634.70459;;1548.595703;;1296.964355;1971.987549;1942.940918;6119.218262;6582.415039;1398.407349;3328.232422;4946.724609;2198.298096;5586.235352;2917.5271;
P04278;32713.81836;49167.30469;486770.7813;40001.44531;20856.11719;94730.14844;56589.53516;75830.88281;35349.98438;218698.7188;315999.5313;72918.375;30102.3125;160913.8125;384767;48343.49219;313539.6563;42068.91797;511478.2813;65484.68359;64156.24219;62138.73047;128420.8438;32460.34766;60683.08984;37669.08594;49185.16406;40461.30859;41441.15625;133567.9844;100311.7813
P04406;62342.34375;24098.83398;41008.57813;59380.64844;99004.20313;72136.64844;36261.07813;12174.5127;57470.52734;155932.5469;136616.9219;135627.1875;18923.05273;22887.52734;105132.5781;14121.25488;81868.5;11895.31641;41323.40625;7648.749023;25704.74023;33512.35156;36534.85547;36360.625;29771.62891;59362.92188;12711.94238;44291.58594;27905.72852;43955.20313;35220.94531
P04732;;18202.17188;;3526.357422;;;;2321.093018;718.7503662;2754.447266;;52086.82813;;;;;;11065.88086;;;14538.94336;;8302.151367;;;;;5931.475586;;;
