,OA_002,OA_003,OA_004,Acute_002,Acute_003,Acute_004
Q9BW62,48930,40650,97310,89540,58860,59060
O15054,136800,186800,171200,133650,161600,152850
P10721,38805,44200,49732,89348,47638,53052
P03952,46970,30590,105600,94590,75055,59360
P01042,37175,28722,47812,56290,49735,32085
Q5T749,9397,34050,22920,31350,9909,44680
P11279,108900,152300,160000,159500,129600,112700
P18428,15722,17142,19705,48308,42175,14893
P04180,18590,25080,29140,47120,54500,25780
P80188,7509,2554,5693,6001,6114,2362
P13796,38740,14410,24270,35270,27090,24580
P00338,57595,38760,48320,74038,74035,53220
P07195,20370,17430,39170,60050,36750,31210
P09382,23635,36305,22302,16800,22750,14161
Q08380,24991,20378,35610,70090,54115,40128
Q8N6C8,1344,2950,2219,3108,3886,2746
Q12907,18260,19420,34068,33025,21645,20578
Q96KR4,71060,108200,68850,98970,101800,83490
P08519,19950,15745,27445,18315,187750,74370
P02750,27020,25380,50700,52570,29930,29350
Q07954,15100,16730,22470,36395,20550,22908
P09960,18680,7049,11600,20100,16250,10190
Q14766,2290,5845,4636,8860,4226,5890
Q14767,NA,4807,2262,1505,2190,NA
Q8N2S1,11210,16515,14980,18365,20885,18150
P51884,127400,233775,157400,137825,86328,85180
Q9Y5Y7,52445,64550,91345,84975,92050,88815
P61626,55455,65470,148125,70050,32665,48220
P33908,7470,8090,13365,17500,11415,10170
P48740,29700,32580,50660,67620,53700,47560
O00187,35910,31010,60815,56880,81275,43645
P11226,5013,7233,14100,18110,13555,9490
P43121,8476,4874,11590,11270,8132,6752
Q7Z7M0,24550,27840,28390,32070,29910,28340
O95140,9834,15195,16390,36075,17410,20190
Q9BY79,28960,22380,32140,25695,28650,47685
P03956,12500,6108,13030,24690,11550,11540
P08253,40300,68710,63480,66018,38175,52415
P08254,74050,96895,166075,122825,77195,55482
P14780,37760,3648,1915,NA,1936,NA
Q16653,4656,7065,10270,13120,8499,4275
Q9UBG0,22145,28012,25785,29455,16490,22360
P26038,71628,56640,35760,46585,42192,42670
P26927,30230,49450,68615,65660,54475,42560
Q9Y4B5,38305,29050,48795,57715,39475,42650
Q9ULD2,NA,3234,9547,5470,NA,NA
Q9NR99,16240,17650,13460,70470,21660,43730
Q99972,7159,8668,11034,11533,35018,13185
P54802,8916,12816,14572,18182,15005,12375
P13591,97940,116600,126100,137900,100700,111700
O95803,87970,104100,125600,128400,108600,105300
P20929,134600,132300,180400,167700,143000,199700
Q92859,3345,2369,6388,6877,3521,3492
P48681,3394,4446,4478,5190,5430,3357
Q17RQ9,32610,93990,15040,7260,6098,29655
P15531,224200,199400,310100,302250,274850,226400
P46531,89000,67985,156700,184800,104550,112935
P61916,23490,32120,26595,32475,19895,23520
O14786,21610,17938,27300,44835,31760,25290
Q02818,6639,3930,6825,12960,12360,7855
P20774,17489,18352,29681,36450,20526,11225
P02763,20708,25842,53160,96055,71315,87728
P19652,15915,26395,78925,115200,85260,110800
P07237,4222,NA,NA,NA,NA,NA
Q15113,24915,25418,38300,68535,25822,40300
Q9UHG3,2936,1684,3663,4699,4413,3574
P30086,20880,17400,40660,35210,21440,20630
Q96S96,81900,132850,208550,54070,68360,49695
P12955,17438,22050,21635,20460,18105,16042
Q92968,34710,22650,25440,45535,36210,60380
P07737,70465,17960,27485,18025,13835,12436
P18669,74742,42375,42200,46255,51128,44968
P52209,29485,4494,9106,11614,11379,7236
P00558,35998,14124,20878,24735,18838,14130
O95336,3508,2403,3180,4139,3014,1847
Q96PD5,22485,23900,26270,31080,22545,26350
Q6UXB8,31188,34618,48112,48562,34758,38570
P01833,4979,6318,11582,3469,2361,3872
P14618,9288,6788,11523,13406,11913,8054
P00747,38062,41870,65392,50720,56950,37755
P55058,14116,18624,11997,8756,17470,8984
Q6UX71,12320,17545,12040,15360,14850,13715
P00491,4598,3124,6818,9496,3554,2812
P27169,22808,16309,27428,50518,68385,37690
Q15063,8438,11050,15142,15585,12440,13200
P62937,68335,44445,58725,46355,30315,29500
P45877,24210,26980,35470,34120,17690,16810
Q96NZ9,5768,5743,16350,10820,10820,8614
P32119,17735,20985,88900,79255,65045,41030
P30044,5128,NA,2598,2217,4042,2150
Q92954,11615,25780,25105,51850,34590,38245
P04070,10438,12690,17400,20510,24110,15160
P07225,53685,51000,73225,89660,56580,64602
P22891,85770,60490,160000,182200,217150,96825
P07602,NA,2366,2074,4448,3069,1852
P25787,3918,1646,3966,8537,5462,6862
P25788,33505,26555,32220,85645,59510,95905
P28070,2750,3152,4260,5622,5562,3599
Q9UL46,4055,2919,4694,5034,4156,2679
P41222,51660,143050,179100,50640,37022,47965
P06454,75085,64745,56920,59690,39065,49745
P23468,16425,25370,20900,21330,19065,21920
P23470,21140,21485,38935,41060,26555,32495
Q12913,18035,22405,32570,39515,27138,30150
P28827,11630,6031,11570,25040,16410,17750
P15151,53802,37362,73500,85812,41962,69705
P20742,5278,4154,20300,23500,14805,19850
O00391,44670,41970,72700,73195,48205,52510
Q5R372,8085,8958,12630,16630,12205,11494
Q2PPJ7,504650,216960,1486655,659765,1289550,728110
Q99969,39978,62618,72500,79690,49612,47770
Q8NDT2,44230,43100,63220,51590,47590,42470
P05451,33625,89140,155750,53760,50470,27975
Q8NHV9,158700,214600,497400,190700,256200,154400
P07998,22590,34495,18345,17500,12300,21138
P10153,32060,30060,41650,37680,30630,32490
Q9BY78,20150,23910,35890,46450,34360,14530
P13489,4410,2634,4231,6108,6112,4794
Q8WZ75,17740,19520,27665,26300,23630,21540
Q01973,130900,107000,208400,205300,173700,153200
P62979,37440,57690,52900,37540,35830,35280
P31949,62630,51500,22790,17220,14180,23540
P80511,33120,3083,3175,2057,5314,2020
P26447,208745,243245,184428,261350,178275,144112
P05109,366625,36638,65402,90300,188650,51490
P06702,95728,18540,23495,25790,54028,16322
P0DJI8,8939,8116,10570,144900,55230,19810
P35542,47098,79295,98250,177070,95810,63725
Q9H7N4,63625,43295,75820,61860,63750,59475
Q969E2,NA,NA,NA,8526,NA,NA
Q6AZY7,4922,7847,9846,12150,10480,8230
Q9P0W5,120600,114600,250500,157100,129000,130600
Q9Y5Y9,122900,96240,185300,387100,168800,161300
Q13228,10850,13850,39810,54930,51390,63220
P49908,99525,77030,154200,151100,158400,77580
P14151,53550,60685,141285,119455,74655,58030
P01009,6230,16170,10660,12510,23995,9366
Q9UK55,31540,22744,46282,69590,101355,38475
P01011,36235,35665,56990,67225,41295,31740
P29622,82708,68595,116105,86655,108740,51985
P05154,44665,59610,95430,66602,92560,44920
P08185,18740,23250,64820,75970,69430,59605
P05543,24810,15180,42568,48112,26220,27380
P01008,44670,51955,68130,66560,56170,44750
P05546,23822,25690,36882,31605,28620,21502
P36955,55585,77290,143500,58695,46190,45620
P08697,37525,44100,42250,47835,34005,28338
P05155,25885,51430,94220,90110,112370,88978
Q01105,5510,6058,7270,4124,4855,4071
Q9BYW2,17610,20810,14089,522200,33170,32640
O75368,103900,52210,93620,80840,57390,47540
Q9H299,55860,48180,42360,30910,22775,23180
Q5HYK7,12290,10670,17220,36870,19600,18420
